GetDlgItem,-,-,USER32.dll
ValidateRgn,-,-,USER32.dll
GetClassInfoExW,-,-,USER32.dll
GetClassInfoW,-,-,USER32.dll
SetCaretPos,-,-,USER32.dll
FillRect,-,-,USER32.dll
LoadMenuA,-,-,USER32.dll
ModifyMenuW,-,-,USER32.dll
InvalidateRgn,-,-,USER32.dll
GetMenuItemID,-,-,USER32.dll
IsIconic,-,-,USER32.dll
OemToCharA,-,-,USER32.dll
CharPrevA,-,-,USER32.dll
GetWindowWord,-,-,USER32.dll
ImmGetProperty,-,-,IMM32.dll
ImmGetCandidateListCountA,-,-,IMM32.dll
ImmGetCompositionStringA,-,-,IMM32.dll
ImmSetConversionStatus,-,-,IMM32.dll
ImmSetOpenStatus,-,-,IMM32.dll
ImmCreateContext,-,-,IMM32.dll
ImmGetOpenStatus,-,-,IMM32.dll
ImmNotifyIME,-,-,IMM32.dll
ImmInstallIMEA,-,-,IMM32.dll
ImmGetContext,-,-,IMM32.dll
ImmDestroyContext,-,-,IMM32.dll
ImmSimulateHotKey,-,-,IMM32.dll
ImmConfigureIMEA,-,-,IMM32.dll
ImmAssociateContext,-,-,IMM32.dll
RasDialA,-,-,RASAPI32.dll
RasGetProjectionInfoA,-,-,RASAPI32.dll
GetLongPathNameA,-,-,KERNEL32.dll
